集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：4月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
1	4月	打印机	A4	2500	1	台	2500	分采	现金	1	2,500.00 		1667.56 	1667.56 	开掘	风井联巷20
2	4月	打印机	A4	1900	1	台	1900	分采	现金	1	1,900.00 		1267.34 	1267.34 	开掘	风井联巷20
3	4月	音箱		80	2	台	80	分采	现金	2	160.00 		53.36 	106.72 	开掘	风井联巷20
4	4月	路由器		500	2	台	500	分采	现金	2	1,000.00 		333.51 	667.02 	开掘	风井联巷20
5	4月	插板	5m	90	2	个	90	分采	现金	2	180.00 		60.03 	120.06 	开掘	风井联巷20
6	4月	墨盒		80	6	个	80	分采	现金	6	480.00 		53.36 	320.17 	开掘	风井联巷20
7	4月	墨盒		80	4	个	80	分采	现金	4	320.00 		53.36 	213.45 	开掘	风井联巷20
8	4月	打印机	A4	2500	1	台	2500	分采	现金	1	2,500.00 		1667.56 	1667.56 	开掘	风井联巷20
9	4月	焊把线		50	16	米	50	分采	现金	16	800.00 		33.35 	533.62 	开掘	风井联巷20
10	4月	软电线	2*0.5	90	7	盘	90	分采	现金	7	630.00 		60.03 	420.22 	开掘	风井联巷20
11	4月	内六方	3-10	46	5	套	46	分采	现金	5	230.00 		30.68 	153.42 	开掘	风井联巷20
12	4月	内六方	12	35	2	个	35	分采	现金	2	70.00 		23.35 	46.69 	开掘	风井联巷20
13	4月	内六方	14	45	2	个	45	分采	现金	2	90.00 		30.02 	60.03 	开掘	风井联巷20
14	4月	内六方	17	65	2	个	65	分采	现金	2	130.00 		43.36 	86.71 	开掘	风井联巷20
15	4月	钻头	14	40	2	个	40	分采	现金	2	80.00 		26.68 	53.36 	开掘	风井联巷20
16	4月	抽油泵		280	1	个	280	分采	现金	1	280.00 		186.77 	186.77 	开掘	风井联巷20
17	4月	斧子		70	2	把	70	分采	现金	2	140.00 		46.69 	93.38 	开掘	风井联巷20
18	4月	梅花扳手	17-19	25	4	把	25	分采	现金	4	100.00 		16.68 	66.70 	开掘	风井联巷20
19	4月	羊角锤		30	4	把	30	分采	现金	4	120.00 		20.01 	80.04 	开掘	风井联巷20
20	4月	电动木工锯		980	1	把	980	分采	现金	1	980.00 		653.68 	653.68 	开掘	风井联巷20
21	4月	木工锯		35	2	把	35	分采	现金	2	70.00 		23.35 	46.69 	开掘	风井联巷20
22	4月	铁皮剪	350mm	20	2	把	20	分采	现金	2	40.00 		13.34 	26.68 	开掘	风井联巷20
23	4月	断线钳	18寸	95	2	个	95	分采	现金	2	190.00 		63.37 	126.73 	开掘	风井联巷20
24	4月	破坏钳	18寸	95	5	个	95	分采	现金	5	475.00 		63.37 	316.84 	开掘	风井联巷20
25	4月	锯弓		45	5	把	45	分采	现金	5	225.00 		30.02 	150.08 	开掘	风井联巷20
26	4月	梅花扳手	22-24	35	4	把	35	分采	现金	4	140.00 		23.35 	93.38 	开掘	风井联巷20
27	4月	轻型电锤	MX2601	1650	1	把	1650	分采	现金	1	1,650.00 		1100.59 	1100.59 	开掘	风井联巷20
28	4月	扳手	12寸	65	2	把	65	分采	现金	2	130.00 		43.36 	86.71 	开掘	风井联巷20
29	4月	剥线钳		35	4	把	35	分采	现金	4	140.00 		23.35 	93.38 	开掘	风井联巷20
30	4月	老虎钳	9寸	35	4	把	35	分采	现金	4	140.00 		23.35 	93.38 	开掘	风井联巷20
31	4月	尖嘴钳		50	4	把	50	分采	现金	4	200.00 		33.35 	133.40 	开掘	风井联巷20
32	4月	螺丝刀	一字	15	4	把	15	分采	现金	4	60.00 		10.01 	40.02 	开掘	风井联巷20
