集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：6月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
1	6月	水泥	C30	994.29	7	吨	994.29 	分采	现金	7	6,960.00 		720.03 	5040.19 	开掘	﹢810m运输大巷
2	6月	电缆	2×1.5²mm	6	100	米	6.00 	分采	现金	100	600.00 		4.34 	434.50 	开掘	﹢810m运输大巷
3	6月	灯座		7	6	个	7.00 	分采	现金	6	42.00 		5.07 	30.41 	开掘	﹢810m运输大巷
4	6月	LED灯	50W	40	10	个	40.00 	分采	现金	8	320.00 		28.97 	231.73 	开掘	﹢810m运输大巷
5	6月	插座		18	6	个	18.00 	分采	现金	6	108.00 		13.03 	78.21 	开掘	﹢810m运输大巷
6	6月	焊把		65	2	个	65.00 	分采	现金	2	130.00 		47.07 	94.14 	开掘	﹢810m运输大巷
7	6月	椅子		150	10	个	150.00 	分采	现金	10	1,500.00 		108.62 	1086.25 	开掘	﹢810m运输大巷
8	6月	垃圾桶		38	17	个	38.00 	分采	现金	17	646.00 		27.52 	467.81 	开掘	﹢810m运输大巷
9	6月	发电机	柴油，220V，32A	7500	1	台	7,500.00 	分采	现金	1	7,500.00 		5431.24 	5431.24 	开掘	﹢810m运输大巷
10	6月	小型潜水泵	220V，450W	500	1	台	500.00 	分采	现金	1	500.00 		362.08 	362.08 	开掘	﹢810m运输大巷
11	6月	蛇皮管		10	200	米	10.00 	分采	现金	200	2,000.00 		7.24 	1448.33 	开掘	﹢810m运输大巷
12	6月	气动钢排钉枪		1245	1	套	1,245.00 	分采	现金	1	1,245.00 		901.59 	901.59 	开掘	﹢810m运输大巷
13	6月	多股单芯铜线	BVR1.5mm2	5.86	500	米	5.86 	分采	现金	500	2,930.00 		4.24 	2121.80 	开掘	﹢810m运输大巷
14	6月	多股单芯铜线	BVR4mm2	17	400	米	17.00 	分采	现金	400	6,800.00 		12.31 	4924.32 	开掘	﹢810m运输大巷
15	6月	多股单芯铜线	BVR6mm2	22	500	米	22.00 	分采	现金	500	11,000.00 		15.93 	7965.82 	开掘	﹢810m运输大巷
16	6月	焊接钢管	φ25	25	150	米	25.00 	分采	现金	150	3,750.00 		18.10 	2715.62 	开掘	﹢810m运输大巷
17	6月	弯头	φ25	16	40	个	16.00 	分采	现金	40	640.00 		11.59 	463.47 	开掘	﹢810m运输大巷
18	6月	角铁	50×50	25	180	米	25.00 	分采	现金	180	4,500.00 		18.10 	3258.74 	开掘	﹢810m运输大巷
19	6月	圆钢	φ14	17.5	150	米	17.50 	分采	现金	150	2,625.00 		12.67 	1900.93 	开掘	﹢810m运输大巷
20	6月	闸阀	DN200	1300	3	个	1,300.00 	分采	现金	3	3,900.00 		941.42 	2824.25 	开掘	﹢810m运输大巷
21	6月	法兰盘	DN200	100	6	个	100.00 	分采	现金	6	600.00 		72.42 	434.50 	开掘	﹢810m运输大巷
22	6月	密封胶垫	DN200	6	6	个	6.00 	分采	现金	6	36.00 		4.34 	26.07 	开掘	﹢810m运输大巷
23	6月	PPR热熔水管	φ25	5.6	100	米	5.60 	分采	现金	100	560.00 		4.06 	405.53 	开掘	﹢810m运输大巷
24	6月	PPR热熔水管	φ50	23.22	300	米	23.22 	分采	现金	300	6,966.00 		16.82 	5044.54 	开掘	﹢810m运输大巷
25	6月	PPR热熔弯头	φ25	4	20	个	4.00 	分采	现金	20	80.00 		2.90 	57.93 	开掘	﹢810m运输大巷
26	6月	PPR热熔弯头	φ50	4	20	个	4.00 	分采	现金	20	80.00 		2.90 	57.93 	开掘	﹢810m运输大巷
27	6月	PPR热熔三通	φ25	2	10	个	2.00 	分采	现金	10	20.00 		1.45 	14.48 	开掘	﹢810m运输大巷
28	6月	PPR热熔三通	φ50	10	5	个	10.00 	分采	现金	5	50.00 		7.24 	36.21 	开掘	﹢810m运输大巷
29	6月	PPR热熔变径三通	50mm×25mm	10	5	个	10.00 	分采	现金	5	50.00 		7.24 	36.21 	开掘	﹢810m运输大巷
30	6月	PPR双头热熔活接	φ25	20	20	个	20.00 	分采	现金	20	400.00 		14.48 	289.67 	开掘	﹢810m运输大巷
31	6月	PPR热熔活接头	φ50	80	10	个	80.00 	分采	现金	10	800.00 		57.93 	579.33 	开掘	﹢810m运输大巷
32	6月	PPR热熔阀门	φ25	20	20	个	20.00 	分采	现金	20	400.00 		14.48 	289.67 	开掘	﹢810m运输大巷
33	6月	PPR热熔阀门	φ50	90	5	个	90.00 	分采	现金	5	450.00 		65.17 	325.87 	开掘	﹢810m运输大巷
34	6月	PPR热熔直接头	φ25	0.8	30	个	0.80 	分采	现金	30	24.00 		0.58 	17.38 	开掘	﹢810m运输大巷
35	6月	PPR热熔直接头	φ50	4	80	个	4.00 	分采	现金	80	320.00 		2.90 	231.73 	开掘	﹢810m运输大巷
36	6月	LED灯泡	100w	40	20	个	40.00 	分采	现金	20	800.00 		28.97 	579.33 	开掘	﹢810m运输大巷
37	6月	螺口平板灯座		3	20	个	3.00 	分采	现金	20	60.00 		2.17 	43.45 	开掘	﹢810m运输大巷
38	6月	LED投光灯	300w	210	25	个	210.00 	分采	现金	25	5,250.00 		152.07 	3801.87 	开掘	﹢810m运输大巷
39	6月	PVC线槽	30mm宽	11	300	米	11.00 	分采	现金	150	1,650.00 		7.97 	1194.87 	开掘	﹢810m运输大巷
40	6月	PVC线槽	100mm宽	42	300	米	42.00 	分采	现金	150	6,300.00 		30.41 	4562.24 	开掘	﹢810m运输大巷
41	6月	空气开关	20A2P	28	10	个	28.00 	分采	现金	10	280.00 		20.28 	202.77 	开掘	﹢810m运输大巷
42	6月	空气开关	32A2P	30	20	个	30.00 	分采	现金	20	600.00 		21.72 	434.50 	开掘	﹢810m运输大巷
43	6月	空开滑轨		12	20	米	12.00 	分采	现金	20	240.00 		8.69 	173.80 	开掘	﹢810m运输大巷
44	6月	墙壁开关		14	30	个	14.00 	分采	现金	30	420.00 		10.14 	304.15 	开掘	﹢810m运输大巷
45	6月	墙壁插座		18	60	个	18.00 	分采	现金	60	1,080.00 		13.03 	782.10 	开掘	﹢810m运输大巷
46	6月	热熔器	重型	400	1	台	400.00 	分采	现金	1	400.00 		289.67 	289.67 	开掘	﹢810m运输大巷
47	6月	热熔器	轻型	350	1	台	350.00 	分采	现金	1	350.00 		253.46 	253.46 	开掘	﹢810m运输大巷
48	6月	水泥		880	2	吨	880.00 	分采	现金	2	1,760.00 		637.27 	1274.53 	开掘	﹢810m运输大巷
49	6月	双层黑色防雨塑料布	2m宽	10	300	米	10.00 	分采	现金	135	1,350.00 		7.24 	977.62 	开掘	﹢810m运输大巷
50	6月	焊接钢管	Φ159×4.5mm	1367.4	60	根	1,367.40 	分采	现金	60	82,044.00 		990.22 	59413.43 	开掘	﹢810m运输大巷
51	6月	闸阀	DN150	2438	5	个	2,438.00 	分采	现金	5	12,190.00 		1765.52 	8827.58 	开掘	﹢810m运输大巷
52	6月	焊接弯头	DN150	116.6	20	个	116.60 	分采	现金	20	2,332.00 		84.44 	1688.75 	开掘	﹢810m运输大巷
53	6月	壁纸刀		15	10	把	15.00 	分采	现金	10	150.00 		10.86 	108.62 	开掘	﹢810m运输大巷
54	6月	壁纸刀片		6	20	盒	6.00 	分采	现金	20	120.00 		4.34 	86.90 	开掘	﹢810m运输大巷
55	6月	切割片	355/3/32mm	51	20	个	51.00 	分采	现金	20	1,020.00 		36.93 	738.65 	开掘	﹢810m运输大巷
56	6月	手砂轮切割片		4	50	个	4.00 	分采	现金	50	200.00 		2.90 	144.83 	开掘	﹢810m运输大巷
57	6月	手砂轮磨片		7	50	个	7.00 	分采	现金	50	350.00 		5.07 	253.46 	开掘	﹢810m运输大巷
58	6月	麻花钻头	M3.2-16mm	16	100	个	16.00 	分采	现金	40	640.00 		11.59 	463.47 	开掘	﹢810m运输大巷
59	6月	宝塔钻头	M35mm	30	5	个	30.00 	分采	现金	5	150.00 		21.72 	108.62 	开掘	﹢810m运输大巷
60	6月	钢板尺	1m	34	5	把	34.00 	分采	现金	5	170.00 		24.62 	123.11 	开掘	﹢810m运输大巷
