集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：5月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
1	5月	水泥		880	2	吨	880	分采	现金	2	1,760.00 		606.14 	1212.29 	开掘	+878-810m回风斜巷
2	5月	水泥		880	4	吨	880	分采	现金	4	3,520.00 		606.14 	2424.58 	开掘	+878-810m回风斜巷
3	5月	木板	5mm*20mm	35	240	米	35	分采	现金	240	8,400.00 		24.11 	5785.92 	开掘	+878-810m回风斜巷
4	5月	木板	3mm*20mm	21	240	米	21	分采	现金	240	5,040.00 		14.46 	3471.55 	开掘	+878-810m回风斜巷
5	5月	水箱	5	4600	4	吨	4600	分采	现金	4	18,400.00 		3168.48 	12673.92 	开掘	+878-810m回风斜巷
6	5月	异径管箍	15/20	30	5	个	30	分采	现金	5	150.00 		20.66 	103.32 	开掘	+878-810m回风斜巷
7	5月	蛇皮管	直径20mm	10	100	米	10	分采	现金	100	1,000.00 		6.89 	688.80 	开掘	+878-810m回风斜巷
8	5月	花纹钢板	3mm	626	3	张	626	分采	现金	3	1,878.00 		431.19 	1293.57 	开掘	+878-810m回风斜巷
9	5月	冷轧钢板	10mm	6842	2	张	6842	分采	现金	1	6,842.00 		4712.77 	4712.77 	开掘	+878-810m回风斜巷
10	5月	冷轧钢板	3mm	1827	2	张	1827	分采	现金	2	3,654.00 		1258.44 	2516.88 	开掘	+878-810m回风斜巷
11	5月	木板	3mm×20mm×6m	126	30	块	126	分采	现金	30	3,780.00 		86.79 	2603.66 	开掘	+878-810m回风斜巷
12	5月	灭火器		190	30	个	190	分采	现金	30	5,700.00 		130.87 	3926.16 	开掘	+878-810m回风斜巷
13	5月	彩钢瓦	1m*6m	222	20	块	222	分采	现金	20	4,440.00 		152.91 	3058.27 	开掘	+878-810m回风斜巷
14	5月	方钢	40mm*50mm	33	140	米	33	分采	现金	140	4,620.00 		22.73 	3182.26 	开掘	+878-810m回风斜巷
15	5月	角铁	50mm*50mm	24.5	60	米	24.5	分采	现金	60	1,470.00 		16.88 	1012.54 	开掘	+878-810m回风斜巷
16	5月	燕尾丝	30mm	35	10	盒	35	分采	现金	10	350.00 		24.11 	241.08 	开掘	+878-810m回风斜巷
17	5月	摄像头	400万（POE)4mm	636.2	5	台	636.2	分采	现金	5	3,181.00 		438.21 	2191.07 	开掘	+878-810m回风斜巷
18	5月	POE交换机	八口	373	1	台	373	分采	现金	1	373.00 		256.92 	256.92 	开掘	+878-810m回风斜巷
19	5月	HDMI视频线	5m	44	5	根	44	分采	现金	5	220.00 		30.31 	151.54 	开掘	+878-810m回风斜巷
20	5月	路由器		350	2	台	350	分采	现金	2	700.00 		241.08 	482.16 	开掘	+878-810m回风斜巷
21	5月	光电转换器		500	5	台	500	分采	现金	5	2,500.00 		344.40 	1722.00 	开掘	+878-810m回风斜巷
22	5月	膨胀丝	6*100	5	30	条	5	分采	现金	30	150.00 		3.44 	103.32 	开掘	+878-810m回风斜巷
23	5月	冲击钻头	8	15	1	个	15	分采	现金	1	15.00 		10.33 	10.33 	开掘	+878-810m回风斜巷
24	5月	冲击钻头	10	18	1	个	18	分采	现金	1	18.00 		12.40 	12.40 	开掘	+878-810m回风斜巷
25	5月	电源		600	1	台	600	分采	现金	1	600.00 		413.28 	413.28 	开掘	+878-810m回风斜巷
26	5月	双股铜线	6平方	25	400	米	25	分采	现金	400	10,000.00 		17.22 	6888.00 	开掘	+878-810m回风斜巷
27	5月	空气开关	2P  32A	27	20	个	27	分采	现金	20	540.00 		18.60 	371.95 	开掘	+878-810m回风斜巷
28	5月	彩钢瓦	1m*3m	111	20	块	111	分采	现金	20	2,220.00 		76.46 	1529.14 	开掘	+878-810m回风斜巷
29	5月	方钢	30mm*40mm	33	60	米	33	分采	现金	60	1,980.00 		22.73 	1363.82 	开掘	+878-810m回风斜巷
30	5月	燕尾丝	30mm	35	5	盒	35	分采	现金	5	175.00 		24.11 	120.54 	开掘	+878-810m回风斜巷
31	5月	电视机	75寸直屏	5000	3	台	5000	分采	现金	3	15,000.00 		3444.00 	10332.00 	开掘	+878-810m回风斜巷
32	5月	人字梯	2米	730	2	件	730	分采	现金	2	1,460.00 		502.82 	1005.65 	开掘	+878-810m回风斜巷
33	5月	伸缩梯	6米	1300	1	件	1300	分采	现金	1	1,300.00 		895.44 	895.44 	开掘	+878-810m回风斜巷
34	5月	雨布	10*12米	1600	5	块	1600	分采	现金	5	8,000.00 		1102.08 	5510.40 	开掘	+878-810m回风斜巷
35	5月	编织袋		1.4	10000	个	1.4	分采	现金	10000	14,000.00 		0.96 	9643.20 	开掘	+878-810m回风斜巷
36	5月	铜线鼻	70平方	24	100	个	24	分采	现金	100	2,400.00 		16.53 	1653.12 	开掘	+878-810m回风斜巷
37	5月	弯头	直径20	8	20	个	8	分采	现金	20	160.00 		5.51 	110.21 	开掘	+878-810m回风斜巷
38	5月	三通	直径20	18	10	个	18	分采	现金	10	180.00 		12.40 	123.98 	开掘	+878-810m回风斜巷
39	5月	水龙头	直径20	12	6	个	12	分采	现金	6	72.00 		8.27 	49.59 	开掘	+878-810m回风斜巷
40	5月	管卡	直径20	6	50	个	6	分采	现金	50	300.00 		4.13 	206.64 	开掘	+878-810m回风斜巷
41	5月	阀门	直径20	25	5	个	25	分采	现金	5	125.00 		17.22 	86.10 	开掘	+878-810m回风斜巷
42	5月	排插	5m	60	8	个	60	分采	现金	8	480.00 		41.33 	330.62 	开掘	+878-810m回风斜巷
